valuation_type,elasticity_case,who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
VSL,e1_2_primary,Eastern Mediterranean,bp_diabetes_only,8257868697.92244,0.000766676508905921,54408560771.3956,0.00483812868964688,89814887356.075,0.00732970151405902,124558069248.732,0.0096180729905186,1983878595193.99,0.00661951734932015
VSL,e1_2_primary,Europe,bp_diabetes_only,99099826893.1786,0.00236498712930453,564510276634.925,0.0140652327799484,642160863371.538,0.0182293071570042,575764319878.545,0.0192574040305657,13964966185845.8,0.0154699714891575
VSL,e1_2_primary,South-East Asia,bp_diabetes_only,16491173779.6663,0.000715206543219536,100007416160.361,0.00394762330462001,151771568531.299,0.00528589728020288,199248877116.491,0.00667077220977709,3344467818951.92,0.00485217122796028
VSL,e1_2_primary,Western Pacific,bp_diabetes_only,57709487757.4656,0.00124541472155233,347301188204.709,0.00740679750109803,499460103278.27,0.0113921851939109,542545570718.995,0.0142133644063191,10655956042077.1,0.0097130307068256
VSL,e1_2_primary,World,bp_diabetes_only,258039432588.404,0.00151866777710138,1495743321485.23,0.00878316247001646,1937771824642.53,0.0118080626774072,2010960762762.81,0.0131970114871594,41978890065372.7,0.0102284882925588
VSL,e1_2_primary,Africa,bp_no_diabetes_only,1286950948.12351,0.000183148114269484,6806984212.84259,0.000928062768864467,9352374301.05506,0.00107925419416885,12304769925.2281,0.00121432552438588,211205064582.421,0.00100033677574422
VSL,e1_2_primary,Americas,bp_no_diabetes_only,55483174157.6468,0.00135936557561836,281416614344.145,0.00715017263478301,303817910192.007,0.00858122705238224,293967813313.684,0.00937463018947397,6805227029470.52,0.00752612259874932
VSL,e1_2_primary,Eastern Mediterranean,bp_no_diabetes_only,3863419766.60397,0.000358687366855718,22768901559.7049,0.00202466072077518,32463577132.8557,0.00264931947772876,39800630508.6358,0.003073308470576,713806727792.743,0.00238172639703463
VSL,e1_2_primary,Europe,bp_no_diabetes_only,53708883579.4083,0.00128174611779629,278644773555.622,0.00694266121484699,293512675583.204,0.00833207537685876,261820077610.447,0.00875701192967639,6509561738856.9,0.00721109762579263
VSL,e1_2_primary,South-East Asia,bp_no_diabetes_only,8875136331.60763,0.000384906232942482,47794389092.6702,0.00188660252865412,60900930223.7194,0.00212105643070426,76205654223.0036,0.00255133463121846,1371448604197.84,0.00198970473574489
VSL,e1_2_primary,Western Pacific,bp_no_diabetes_only,49963716377.7665,0.00107825507275076,276186354515.958,0.00589015088327428,350898162900.635,0.00800363598559535,367002377791.818,0.00961456293270973,7632184688244.68,0.00695682714383971
VSL,e1_2_primary,World,bp_no_diabetes_only,173181281161.157,0.00101924279036878,913618017280.942,0.00536486131413561,1050945630333.48,0.00640407281998445,1051101323372.82,0.00689789502389987,23243433853145.1,0.00566344633399133
VSL,e1_2_primary,Africa,statins_only,4315745547.69284,0.000614180874476506,20585462914.2854,0.00280661760233618,20566895075.3614,0.00237339814004348,25636596198.0942,0.00253000855041528,492794494741.407,0.00233403709777872
VSL,e1_2_primary,Americas,statins_only,41745931894.0164,0.00102279625490773,198727810973.903,0.00504923335499397,180312748983.643,0.00509286841743457,176883827363.644,0.0056408232225869,4240337276149.77,0.00468952733863942
VSL,e1_2_primary,Eastern Mediterranean,statins_only,15783669667.9413,0.0014653864334009,80402018441.8204,0.00714952402000305,84998767761.9847,0.00693666289741252,101290684412.305,0.00782142178192966,1980555677366.01,0.00660842992075168
VSL,e1_2_primary,Europe,statins_only,124614680679.898,0.00297389132927576,551360163011.287,0.0137375870012005,381867605788.575,0.0108402462315773,299977814159.099,0.0100332614717881,9444910552544.3,0.0104627891697723
VSL,e1_2_primary,South-East Asia,statins_only,32135931758.3232,0.00139370483708979,163533587488.298,0.00645521128174895,155814599066.239,0.00542670787019167,184011367750.222,0.00616062652917034,3717671931230.66,0.00539361768634565
VSL,e1_2_primary,Western Pacific,statins_only,101369822492.643,0.00218763801515726,562316123828.572,0.0119923622557423,602779659312.9,0.0137488008850812,612114853788.916,0.0160359091382736,13581907196651.2,0.0123800699944154
VSL,e1_2_primary,World,statins_only,319965782040.515,0.00188312971426759,1576925166658.17,0.0092598708233331,1426340275988.7,0.00869158853689695,1399915143672.28,0.00918699985309983,33458177128683.3,0.00815234925263997
VSL,e1_5_sensitivity,Africa,all_interventions,4731942308.62817,0.000673410522693881,25038348903.7538,0.00341372312390138,33503141790.5885,0.00386622745533691,46326876054.0994,0.00457187809275606,770093555252.805,0.00364741681552986
VSL,e1_5_sensitivity,Americas,all_interventions,159061482944.266,0.00389708605543871,821603628896.656,0.0208751277804487,926059230733.737,0.0261562082296546,909211822896.414,0.0289947545871499,20570874512779.8,0.0227500012675865
VSL,e1_5_sensitivity,Eastern Mediterranean,all_interventions,20190150105.0028,0.00187449260372528,117422660603.799,0.0104414808079353,167742360114.625,0.0136892832257261,222746696722.61,0.0171999614348292,3752874551419.26,0.0125220455844036
VSL,e1_5_sensitivity,Europe,all_interventions,237879467681.803,0.00567692090925338,1192583138472.69,0.0297141790793434,1169440090689.24,0.0331974180160446,1036813812656.36,0.0346779781334948,26392678970864.6,0.0292370196796889
VSL,e1_5_sensitivity,South-East Asia,all_interventions,32353354442.6103,0.00140313425239546,180779426761.809,0.00713596156645462,231921694350.369,0.00807736432620347,308744841408.908,0.0103366530230354,5290878386163.63,0.00767603375655298
VSL,e1_5_sensitivity,Western Pacific,all_interventions,152755322208.724,0.00329657625577525,874284264988.517,0.01864562152131,1115196928182.33,0.0254365260611324,1206884247850.31,0.0316174097379691,24389220577775.5,0.0222310647164888
VSL,e1_5_sensitivity,World,all_interventions,606971719691.034,0.00357227724096308,3211711468627.22,0.0188595083331258,3643863445860.89,0.0222043521375773,3730728297588.7,0.0244830556172098,81166620554255.6,0.0197768884978354
VSL,e1_5_sensitivity,Africa,bp_combined,2351535634.30318,0.000334650918660181,13906374058.2389,0.00189599205900974,22813327814.4413,0.00263263412413971,33040328792.489,0.00326066353378626,510529394178.635,0.00241803542497916
VSL,e1_5_sensitivity,Americas,bp_combined,122676701392.431,0.00300564067097989,654616551983.935,0.0166323561499024,773880152981.002,0.0218579651866653,760114166403.56,0.0242400320344253,16990779403176.9,0.0187906572819457
VSL,e1_5_sensitivity,Eastern Mediterranean,bp_combined,9016814260.87798,0.000837138483531745,58904328298.505,0.00523790220959497,99945703486.5348,0.00815646710399617,139362936119.261,0.0107612690197643,2196974200320.26,0.00733054374912826
VSL,e1_5_sensitivity,Europe,bp_combined,134046569201.447,0.00319898047077894,740268660563.485,0.0184443958976138,841709895991.438,0.0238939946457629,770597516346.026,0.0257739272908683,18370009182691.4,0.0203497462528647
VSL,e1_5_sensitivity,South-East Asia,bp_combined,14298602836.6808,0.000620116823964393,86512758716.9893,0.00341494456681625,134306009566.787,0.00467760712730314,185644820301.556,0.00621531386313739,2980926381679.73,0.00432474342850361
VSL,e1_5_sensitivity,Western Pacific,bp_combined,80533665232.5048,0.0017379778639285,472551693296.601,0.010077980784177,663503055416.625,0.0151338407901233,729895476285.556,0.019121472817891,14257279016080.3,0.0129956794427593
VSL,e1_5_sensitivity,World,bp_combined,362923888558.245,0.00213595577065498,2026760366917.75,0.0119013505423862,2536158145256.83,0.0154544069421248,2618655244248.45,0.0171850311449031,55306497578127.2,0.0134758651812698
VSL,e1_5_sensitivity,Africa,bp_diabetes_only,1639092366.63488,0.000233261940946854,10131634595.7514,0.00138134488960853,16718342630.9658,0.00192927922078422,24207516718.9687,0.00238897643860632,374322463777.597,0.00177291452382662
VSL,e1_5_sensitivity,Americas,bp_diabetes_only,70042033388.1711,0.00171606492382104,389257585734.818,0.00989017277423125,491132412241.299,0.013871857454234,488355972209.724,0.0155736663435394,10643964412495,0.0117715075130116
VSL,e1_5_sensitivity,Eastern Mediterranean,bp_diabetes_only,6056630617.80662,0.000562309306148319,40901450198.9416,0.00363704675973892,72723147972.2803,0.00593486206452951,105107739499.814,0.00811616554812582,1602279004234.75,0.00534625137479554
VSL,e1_5_sensitivity,Europe,bp_diabetes_only,86644768237.6161,0.00206775095504875,494326873892.866,0.0123165562053777,575058761176.089,0.0163244498205119,526783843830.545,0.0176191698012116,12479146763870.1,0.0138240252125888
VSL,e1_5_sensitivity,South-East Asia,bp_diabetes_only,9318437001.09704,0.000404131761923528,58534840117.7244,0.00231056363470497,95764710190.6512,0.00333529149125048,133999132881.353,0.00448623703528602,2113910908568.28,0.00306687289107799
VSL,e1_5_sensitivity,Western Pacific,bp_diabetes_only,43279267461.8398,0.000933999571465665,263286198189.12,0.00561503277573392,389321077499.105,0.00888002422145754,433959474993.949,0.0113686747962754,8300033015200.89,0.00756557883928714
VSL,e1_5_sensitivity,World,bp_diabetes_only,216980229073.166,0.00127701754284628,1256438582729.22,0.00737793981573658,1640718451710.39,0.00999792961555149,1712413680134.35,0.0112377841606686,35513656568146.5,0.00865318306099947
VSL,e1_5_sensitivity,Africa,bp_no_diabetes_only,712443267.668531,0.000101388977713359,3773985976.39373,0.000514544439268649,5361204652.67879,0.000618677399016036,7332884361.0722,0.000723663156737566,121447377209.276,0.000575214794116406
VSL,e1_5_sensitivity,Americas,bp_no_diabetes_only,52634668004.2634,0.00128957574715894,265552240686.987,0.00674709405089862,282706645821.365,0.00798494702131739,270870182465.13,0.00863804700705893,6344053826755.36,0.0070160961076622
VSL,e1_5_sensitivity,Eastern Mediterranean,bp_no_diabetes_only,2960183643.07155,0.000274829177383443,17986372175.1722,0.00159938770681683,27038191131.205,0.00220655924987257,33826477220.0878,0.00261199879604132,590537732023.171,0.00197042035335499
VSL,e1_5_sensitivity,Europe,bp_no_diabetes_only,47401800963.831,0.00113122951573018,246164370134.784,0.00613338554032076,264377011701.597,0.00750498827701203,240335035214.251,0.00803840862663625,5850291631561.1,0.00648077793666536
VSL,e1_5_sensitivity,South-East Asia,bp_no_diabetes_only,4980165835.58297,0.000215985062040829,27847937500.9509,0.00109925014848978,38312879974.9978,0.00133436024952734,51196173607.5947,0.00171402728633094,861659595149.071,0.00125010020194735
VSL,e1_5_sensitivity,Western Pacific,bp_no_diabetes_only,37254397770.6602,0.000803978292462736,208787048079.418,0.00445274429946595,272943902863.948,0.00622557731551688,293428847123.162,0.00768711672636197,5929111508430.38,0.00540445567888732
VSL,e1_5_sensitivity,World,bp_no_diabetes_only,145943659485.078,0.000858938227808689,770111954553.707,0.00452217858491299,890739836145.792,0.00542783813899928,896989599991.297,0.005886530594801,19697101671128.4,0.00479935447380173
VSL,e1_5_sensitivity,Africa,statins_only,2389331187.10218,0.00034002966618199,11352967077.7519,0.00154786109847692,11570455360.3774,0.00133521842413023,14869883266.5866,0.00146746984340058,277742807910.862,0.00131548145164518
VSL,e1_5_sensitivity,Americas,statins_only,36697004515.1177,0.0008990950035487,174312848155.5,0.00442890324609036,157924447015.412,0.00446051892103631,153986336577.745,0.00491062250447072,3712048960597.62,0.00410527605457291
