location,iso3,year,pop_40plus_2025,diabetes_prev_2025,diabetes_pop_40plus_2025,statins_baseline_2025,statins_target_2030,prim_prev_ihd_2025,prim_prev_istroke_2025,prim_prev_total_2025,sec_prev_ihd_2025,sec_prev_istroke_2025,sec_prev_total_2025,total_eligible_2025
Puerto Rico,,2025,1924807,0.0558334283333333,107468.573689998,0.156553934366393,0.8,,,,,,,
Qatar,QAT,2025,1095637,0.05898239,64623.28883243,0.299662404155834,0.8,,,,,,,
Republic of Korea,,2025,31653633,0.0558334283333333,1767330.84959513,0.290597998839892,0.8,,,,,,,
Republic of Moldova,,2025,1529845,0.0558334283333333,85416.4911686083,0.0160415801162764,0.8,,,,,,,
Romania,ROU,2025,10732837.5,0.02835982,304381.33958925,0.128002772423202,0.8,,,,,,,
Russian Federation,RUS,2025,77788851,0.0558334283333333,4343218.23744085,0.10126441587483,0.8,,,,,,,
Rwanda,RWA,2025,3275176,0.04694903,153766.33627928,0.00143962375716233,0.8,,,,,,,
Réunion,,2025,442303.5,,,,0.8,,,,,,,
Saint Barthélemy,,2025,5834,,,,0.8,,,,,,,
Saint Helena,,2025,3379.5,,,,0.8,,,,,,,
Saint Kitts and Nevis,,2025,21995,,,,0.8,,,,,,,
Saint Lucia,LCA,2025,80222,0.0558334283333333,4479.06928775667,0.0558828343628584,0.8,,,,,,,
Saint Martin (French part),,2025,13741,,,,0.8,,,,,,,
Saint Pierre and Miquelon,,2025,3478.5,,,,0.8,,,,,,,
Saint Vincent and the Grenadines,VCT,2025,45503.5,0.0558334283333333,2540.61640616583,0.043451784543798,0.8,,,,,,,
Samoa,WSM,2025,59869,0.09178684,5495.18632396,0.00933301165236181,0.8,,,,,,,
San Marino,,2025,21447.5,,,,0.8,,,,,,,
Sao Tome and Principe,STP,2025,56651,0.0558334283333333,3163.01954851167,0.00653599688803369,0.8,,,,,,,
Saudi Arabia,SAU,2025,10662651.5,0.0558334283333333,595332.388368559,0.132994441376701,0.8,,,,,,,
Senegal,SEN,2025,4033046.5,0.0614107,247672.20869755,0.00376470156097012,0.8,,,,,,,
Serbia,SRB,2025,3945650.5,0.03469523,136895.251597115,0.0850397663138632,0.8,,,,,,,
Seychelles,SYC,2025,57263,0.07902667,4525.30420421,0.132196063203325,0.8,,,,,,,
Sierra Leone,SLE,2025,1884659.5,0.0558334283333333,105227.001125986,0.00191185112765485,0.8,,,,,,,
Singapore,SGP,2025,2758725,0.05380854,148442.9645115,0.367931900443334,0.8,,,,,,,
Sint Maarten (Dutch part),,2025,24471.5,,,,0.8,,,,,,,
Slovakia,SVK,2025,3109416.5,0.0305529,95001.69138285,0.193840786688815,0.8,,,,,,,
Slovenia,SVN,2025,1262198.5,0.03143999,39683.508218015,0.157254152153001,0.8,,,,,,,
Solomon Islands,SLB,2025,203587,0.0558334283333333,11366.9601740983,0.00208506219583679,0.8,,,,,,,
Somalia,SOM,2025,3254308,0.05144923,167431.64078284,0.000256902426006327,0.8,,,,,,,
South Africa,ZAF,2025,21925641.5,0.0558334283333333,1224183.73335261,0.0442387230612269,0.8,,,,,,,
South Sudan,,2025,2799469,0.0558334283333333,156303.951782888,0.0159989968942297,0.8,,,,,,,
Spain,ESP,2025,29319473.5,0.04578052,1342260.74295622,0.179110161724259,0.8,,,,,,,
Sri Lanka,LKA,2025,10181128,0.0558334283333333,568447.280540493,0.0344089757253975,0.8,,,,,,,
Sudan,SDN,2025,10315344,0.04678639,482617.70736816,0.00571601409356046,0.8,,,,,,,
Suriname,SUR,2025,236887.5,0.06291659,14904.153713625,0.0569755516619499,0.8,,,,,,,
Sweden,SWE,2025,5645799.5,0.05187009,292848.128186955,0.167728550176021,0.8,,,,,,,
Switzerland,CHE,2025,5111982,0.05638718,288250.24919076,0.282610192024964,0.8,,,,,,,
Syrian Arab Republic,,2025,6825170,0.0558334283333333,381072.640057817,0.0145759503862051,0.8,,,,,,,
Taiwan (Province of China),,2025,14096986.5,0.0558334283333333,787083.085463718,0.25849650199988,0.8,,,,,,,
Tajikistan,TJK,2025,2731295,0.04724895,129050.82089025,0.00695992473916895,0.8,,,,,,,
Tanzania,TZA,2025,13173016.5,0.0460543,606674.05379595,0.00282244326047106,0.8,,,,,,,
Thailand,THA,2025,38376550,0.05850914,2245378.936667,0.0624858043450839,0.8,,,,,,,
Timor-Leste,TLS,2025,341074.5,0.06597489,22502.352619305,0.00984788655386667,0.8,,,,,,,
Togo,TGO,2025,2148908.5,0.0540094,116061.2587399,0.00218452581974698,0.8,,,,,,,
Trinidad and Tobago,TTO,2025,747927,0.0558334283333333,41759.328553065,0.108701955060778,0.8,,,,,,,
Tunisia,TUN,2025,5227326.5,0.04942355,258353.032639075,0.0326822201387354,0.8,,,,,,,
Turkey,TUR,2025,37960472.5,0.04768647,1810200.93305708,0.110873301444315,0.8,,,,,,,
Turkmenistan,TKM,2025,2380341,0.05072707,120747.72453087,0.0643208889204226,0.8,,,,,,,
Turks and Caicos Islands,,2025,24392.5,,,,0.8,,,,,,,
Uganda,UGA,2025,7979991,0.04978471,397281.53773761,0.00232795336148131,0.8,,,,,,,
Ukraine,UKR,2025,22015123,0.04246413,934853.04503799,0.0371575534186986,0.8,,,,,,,
United Arab Emirates,ARE,2025,3511407.5,0.0558334283333333,196053.919000379,0.138250525674928,0.8,,,,,,,
United Kingdom,GBR,2025,36727289.5,0.0558334283333333,2050610.48617584,0.173970981658701,0.8,,,,,,,
United States,USA,2025,176008214.5,0.0558334283333333,9827142.03036371,0.35618085728459,0.8,,,,,,,
United States Virgin Islands,,2025,48724.5,,,,0.8,,,,,,,
Uruguay,URY,2025,1619380,0.04097491,66353.9497558,0.106036881126784,0.8,,,,,,,
Uzbekistan,UZB,2025,11924397.5,0.05000056,596226.5526626,0.02378603164262,0.8,,,,,,,
Vanuatu,VUT,2025,80580.5,0.09889689,7969.160844645,0.00292625954690505,0.8,,,,,,,
Venezuela (Bolivarian Republic of),,2025,11225125,0.0558334283333333,626737.212220208,0.0683468924303466,0.8,,,,,,,
Viet Nam,,2025,42834512,0.0558334283333333,2391597.65594531,0.012257271520758,0.8,,,,,,,
Western Sahara,,2025,242208,,,,0.8,,,,,,,
Yemen,YEM,2025,8010985.5,0.04222308,338248.48164534,0.00539776464827252,0.8,,,,,,,
Zambia,ZMB,2025,4051650.5,0.0516391,209223.58533455,0.00562232757495596,0.8,,,,,,,
Zimbabwe,ZWE,2025,3602148.5,0.06819287,245640.844381195,0.00457910217023156,0.8,,,,,,,
